length_sku_key,current_bucket,supplied_to,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
41.28-0-3.2-5.86-ERW 1-FC,41.28-0-3.2-ERW 1-FC,TVSM,41.28,3.15,5860.0,5.86,ERW 1,Fin cut,"3230501, 3673889","056, 0789",,,Yes,0.0,4.114,complete,,,,
42.7-0-1.6-5.94-ERW 2-FC,none - RE or HMSIL size,RE or HMSIL,42.7,1.6,5940.0,5.94,ERW 2,Fin cut,4230724,0789,4230724,,Yes,0.0,2.562,complete,,,,
42.7-0-3.5-6-ERW 1-FC,42.7-0-3.5-ERW 1-FC,TVSM,42.7,3.5,6000.0,6.0,ERW 1,Fin cut,3500650,056,,,Yes,0.0,12.12,complete,,,,
42.7-0-4-5.5-ERW 1-FC,42.7-0-4-ERW 1-FC,TVSM,42.7,4,5500.0,5.5,ERW 1,Fin cut,3500714,0788,,,Yes,0.0,23.096,complete,,,,
45-0-1.4-6.4-ERW 2-FC,none - HMSIL size,HMSIL,45,1.4,6400.0,6.4,ERW 2,Fin cut,3514971,0789,,,Yes,0.0,26.793,complete,,,,
45-0-1.6-6.4-ERW 2-FC,none - HMSIL size,HMSIL,45,1.6,6400.0,6.4,ERW 2,Fin cut,3702882,0789,,,Yes,0.0,15.245,complete,,,,
45-0-3.5-6.1-CEW-FC,none - RE or HMSIL size,RE or HMSIL,45,3.5,6100.0,6.1,CEW,Fin cut,3500263,056,3500263,,Yes,0.0,21.676,complete,,,,
47.63-0-4-6-CEW-FC,none - RE or HMSIL size,RE or HMSIL,47.63,4,6000.0,6.0,CEW,Fin cut,3500635,0788,3500635,,Yes,0.0,6.172,complete,,,,
48-0-1.2-5.285-ERW 1-FC,none - RE size,RE,48,1.2,5285.0,5.285,ERW 1,Fin cut,4038150,0789,,,Yes,0.0,3.111,complete,,,,
48-0-1.2-5.55-ERW 1-FC,none - RE size,RE,48,1.2,5550.0,5.55,ERW 1,Fin cut,4180803,0789,,,Yes,0.0,3.759,complete,,,,
48-0-1.2-5.67-ERW 1-FC,none - RE size,RE,48,1.2,5670.0,5.67,ERW 1,Fin cut,3460088,0789,,,Yes,0.0,6.102,complete,,,,
48.6-0-2.3-6.27-ERW 2-FC,none - HMSIL size,HMSIL,48.6,2.3,6270.0,6.27,ERW 2,Fin cut,3549720,056,,,Yes,0.0,39.618,complete,,,,
48.6-0-3.5-6.05-ERW 1-FC,48.6-0-3.5-ERW 1-FC,TVSM,48.6,3.5,6050.0,6.05,ERW 1,Fin cut,3502422,056,,,Yes,0.0,41.145,complete,,,,
50-50-1.6-6.06-ERW 1-NFC,50-50-1.6-ERW 1-PE,TVSM,50,1.6,6060.0,6.06,ERW 1,Fin cut,3751498,0788,,,Yes,0.0,0.613,complete,,,,
50.8-0-2.6-6-ERW 1-FC,none - RE or HMSIL size,RE or HMSIL,50.8,2.6,6000.0,6.0,ERW 1,Fin cut,4155237,056,4155237,,Yes,0.0,18.154,complete,,,,
54-0-3-5.91-ERW 1-FC,54-0-3-ERW 1-FC,TVSM,54,3,5910.0,5.91,ERW 1,Fin cut,3500391,0788,,,Yes,0.0,45.135,complete,,,,
57.15-0-2.5-5.71-ERW 1-FC,57.15-0-2.5-ERW 1-FC,TVSM,57.15,2.5,5710.0,5.71,ERW 1,Fin cut,3907863,"056, 0789",,,Yes,0.0,83.594,complete,,,,
57.15-0-2.5-5.95-ERW 1-FC,57.15-0-2.5-ERW 1-FC,TVSM,57.15,2.5,5950.0,5.95,ERW 1,Fin cut,4045220,"056, 0789",,,Yes,0.0,5.954,complete,,,,
57.15-0-2.5-6.1-ERW 1-FC,57.15-0-2.5-ERW 1-FC,TVSM,57.15,2.5,6100.0,6.1,ERW 1,Fin cut,3910001,"056, 0789",,,Yes,0.0,73.169,complete,,,,
57.15-0-3-5.65-ERW 1-NFC,none - HMSIL size,HMSIL,57.15,3,5650.0,5.65,ERW 1,lookup error,3501105,056,,,Yes,0.0,29.313,complete,,,,
60.3-0-2-6-ERW 1-FC,60.3-0-2-ERW 1-FC,TVSM,60.3,2,6000.0,6.0,ERW 1,Fin cut,3702875,"056, 0788",,,Yes,0.0,2.243,complete,,,,
